,Date,Open,High,Low,Close,Adj Close,Volume
1082,1985-03-25,0.09933,0.09933,0.09654,0.09654,0.075558,109961600
5247,2001-09-24,0.287679,0.300714,0.284821,0.29375,0.251851,294537600
9644,2019-03-14,45.974998,46.025002,45.639999,45.932499,44.781471,94318000
7000,2008-09-10,5.44,5.535357,5.314286,5.414643,4.642325,973142800
4453,1998-07-27,0.305804,0.311384,0.296875,0.307478,0.263621,214233600
7292,2009-11-05,6.871429,6.964286,6.850714,6.929643,5.941234,384801200
9246,2017-08-11,39.150002,39.642502,39.017502,39.369999,37.519321,105028400
5213,2001-07-31,0.344107,0.346786,0.330536,0.335536,0.287677,235026400
1264,1985-12-12,0.088728,0.090402,0.088728,0.089286,0.069881,125260800
5427,2002-06-12,0.364464,0.370536,0.356071,0.35875,0.30758,528718400
2150,1989-06-15,0.441964,0.444196,0.424107,0.424107,0.338097,161403200
4225,1997-08-28,0.197545,0.200893,0.196429,0.196429,0.168411,95670400
6384,2006-03-30,2.243571,2.260714,2.1975,2.241071,1.921416,1390650800
538,1983-01-28,0.18192,0.1875,0.180804,0.183036,0.143256,397734400
9685,2019-05-13,46.927502,47.369999,45.712502,46.43,45.44083,229722400
7876,2012-03-02,19.437143,19.52857,19.375713,19.470715,16.693514,431712400
416,1982-08-06,0.055246,0.055246,0.054688,0.054688,0.042802,96835200
9232,2017-07-24,37.645,38.110001,37.474998,38.022499,36.093418,85972800
10278,2021-09-17,148.820007,148.820007,145.759995,146.059998,145.847137,129868800
3036,1992-12-15,0.506696,0.508929,0.495536,0.503348,0.415634,182537600
6215,2005-07-28,1.566071,1.571429,1.546429,1.564286,1.341165,251311200
345,1982-04-27,0.068638,0.068638,0.06808,0.06808,0.053284,70268800
4413,1998-05-29,0.245536,0.246094,0.236049,0.237723,0.203815,216720000
5209,2001-07-25,0.341429,0.344643,0.320893,0.329821,0.282777,443878400
7532,2010-10-20,11.035714,11.223214,10.959643,11.090357,9.508487,721624400
9879,2020-02-19,80.0,81.142502,80.0,80.904999,79.910019,93984000
4821,2000-01-10,0.910714,0.912946,0.845982,0.872768,0.748281,505064000
8072,2012-12-12,19.563213,19.571428,19.1525,19.25,16.650846,487144000
487,1982-11-16,0.141183,0.141741,0.133371,0.133929,0.104821,182022400
7947,2012-06-13,20.518572,20.66,20.370714,20.434286,17.519644,293580000
7754,2011-09-07,13.77,13.771429,13.642857,13.711786,11.756009,350576800
5722,2003-08-13,0.354643,0.363214,0.349643,0.360357,0.308958,284099200
7138,2009-03-30,3.7325,3.750357,3.664643,3.731786,3.199502,502796000
3515,1994-11-07,0.360491,0.368304,0.358259,0.363839,0.307497,113041600
4726,1999-08-25,0.541853,0.549107,0.53683,0.547991,0.469828,295164800
3809,1996-01-08,0.308036,0.316964,0.303571,0.309152,0.265056,121340800
6364,2006-03-02,2.463929,2.499643,2.4525,2.486071,2.131471,625273600
1631,1987-05-28,0.354911,0.358259,0.350446,0.357143,0.279949,151222400
7689,2011-06-06,12.346429,12.394643,12.064643,12.072857,10.350848,461941200
2335,1990-03-09,0.328125,0.334821,0.323661,0.329241,0.264591,230473600
569,1983-03-15,0.18471,0.1875,0.179129,0.1875,0.14675,75062400
10044,2020-10-13,125.269997,125.389999,119.650002,121.099998,120.150726,262330500
6968,2008-07-25,5.728571,5.821429,5.666071,5.79,4.964143,633637200
3841,1996-02-22,0.267857,0.268973,0.264509,0.266741,0.228694,184184000
2060,1989-02-06,0.352679,0.352679,0.341518,0.34375,0.272686,116737600
5973,2004-08-12,0.54375,0.550893,0.540714,0.542321,0.464967,226200800
4732,1999-09-02,0.603795,0.637835,0.597098,0.630022,0.540159,895148800
192,1981-09-17,0.079241,0.079241,0.078683,0.078683,0.061582,19376000
3027,1992-12-02,0.520089,0.522321,0.508929,0.511161,0.422086,97776000
4980,2000-08-25,1.008929,1.026786,1.006696,1.014509,0.869805,334460000
5980,2004-08-23,0.551071,0.558393,0.546429,0.555,0.475838,254660000
4666,1999-06-01,0.401786,0.404576,0.396205,0.400112,0.343042,461025600
