,Date,Open,High,Low,Close,Adj Close,Volume
287,2016-08-29,44.029999,44.080002,43.0,43.040001,43.040001,16331500
826,2018-10-18,53.858002,54.200001,52.599998,52.782001,52.782001,27106000
1026,2019-08-07,45.299999,46.714001,45.16,46.683998,46.683998,23882500
227,2016-06-03,44.0,44.388,43.602001,43.798,43.798,11145000
340,2016-11-11,36.848,37.776001,36.599998,37.712002,37.712002,19942500
1183,2020-03-23,86.720001,88.400002,82.099998,86.858002,86.858002,82272500
1191,2020-04-02,96.206001,98.851997,89.279999,90.893997,90.893997,99292000
128,2016-01-12,42.32,42.748001,41.062,41.993999,41.993999,15459500
994,2019-06-21,43.243999,44.436001,43.099998,44.372002,44.372002,41010500
702,2018-04-24,57.0,57.417999,55.692001,56.692001,56.692001,28426500
495,2017-06-27,75.279999,75.279999,72.403999,72.473999,72.473999,34982000
659,2018-02-21,67.206001,67.938004,66.634003,66.660004,66.660004,16098000
105,2015-12-08,45.504002,45.759998,44.84,45.344002,45.344002,13438000
966,2019-05-13,46.402,46.493999,44.900002,45.402,45.402,54174000
545,2017-09-07,69.195999,70.496002,68.690002,70.122002,70.122002,21196000
65,2015-10-12,44.598,44.599998,43.054001,43.116001,43.116001,19181500
891,2019-01-24,56.605999,58.736,55.855999,58.301998,58.301998,40061000
943,2019-04-09,54.330002,55.0,53.922001,54.462002,54.462002,29520000
995,2019-06-24,44.647999,45.172001,44.203999,44.728001,44.728001,28754000
929,2019-03-20,53.938,54.993999,53.259998,54.720001,54.720001,34541000
289,2016-08-31,42.085999,42.52,41.73,42.402,42.402,16382500
1161,2020-02-20,182.389999,182.399994,171.988007,179.882004,179.882004,88174500
578,2017-10-24,67.760002,68.559998,67.232002,67.468002,67.468002,22458500
1124,2019-12-26,85.582001,86.695999,85.269997,86.188004,86.188004,53169500
993,2019-06-20,44.599998,45.380001,43.27,43.924,43.924,59317500
634,2018-01-16,67.508003,69.0,66.959999,68.012001,68.012001,32371500
780,2018-08-14,71.690002,71.839996,69.419998,69.528,69.528,34932000
866,2018-12-17,72.400002,73.139999,68.776001,69.683998,69.683998,38370000
166,2016-03-08,40.700001,41.5,40.439999,40.52,40.52,20893500
475,2017-05-30,65.199997,67.255997,65.152,67.019997,67.019997,38914500
712,2018-05-08,60.16,61.549999,59.799999,60.394001,60.394001,29650000
323,2016-10-19,39.948002,41.332001,39.612,40.712002,40.712002,34956000
525,2017-08-09,72.199997,74.0,71.790001,72.706001,72.706001,34460500
206,2016-05-04,46.057999,46.891998,44.080002,44.512001,44.512001,43502500
534,2017-08-22,68.225998,68.447998,67.473999,68.269997,68.269997,21610000
346,2016-11-21,37.007999,37.778,36.882,36.903999,36.903999,21805000
918,2019-03-05,56.400002,56.799999,54.02,55.307999,55.307999,93823500
1226,2020-05-22,164.434006,166.356003,162.399994,163.376007,163.376007,49937500
840,2018-11-07,68.667999,70.236,68.160004,69.632004,69.632004,36872500
106,2015-12-09,45.34,45.5,44.144001,44.903999,44.903999,15289000
1047,2019-09-06,45.439999,45.928001,45.034,45.490002,45.490002,20947000
678,2018-03-20,62.973999,63.25,61.751999,62.110001,62.110001,23821500
838,2018-11-05,68.099998,68.792,66.028,68.279999,68.279999,39155000
400,2017-02-09,53.25,54.236,53.23,53.84,53.84,39101000
620,2017-12-22,65.902,66.183998,64.963997,65.040001,65.040001,21079000
1060,2019-09-25,44.911999,45.796001,43.672001,45.740002,45.740002,47135500
